"","gender","rural","dem_education_level","dem_has_children","age_group"
"2826","female","urban","medium","no","26_39"
"2827","male","urban","medium","no","40_65"
"2828","male","rural","low","no","26_39"
"2829","female","urban","high","yes","40_65"
"2830","female","urban","high","no","40_65"
"2831","female","urban","medium","yes","40_65"
"2832","female","urban","medium","no","14_25"
"2833","female","urban","medium","no","14_25"
"2834","male","urban","high","no","14_25"
"2835","male","rural","low","no","40_65"
"2836","female","urban","high","no","40_65"
"2837","female","urban","high","no","40_65"
"2838","male","urban","low","yes","26_39"
"2839","male","urban","medium","yes","40_65"
"2840","female","urban","high","no","14_25"
"2841","male","urban","high","yes","40_65"
"2842","female","rural","medium","yes","40_65"
"2843","male","urban","high","no","14_25"
"2844","female","urban","low","yes","40_65"
"2845","female","urban","high","yes","26_39"
"2846","male","urban","high","yes","40_65"
"2847","male","urban","high","no","26_39"
"2848","female","rural",NA,"no","40_65"
"2849","female","urban",NA,"no","26_39"
"2850","male","urban","medium","yes","26_39"
"2851","male","urban",NA,"no","14_25"
"2852","female","urban","medium","yes","40_65"
"2853","female","urban","low","no","14_25"
"2854","female","rural","low","yes","40_65"
"2855","female","rural","medium","no","40_65"
"2856","male","urban","high","yes","40_65"
"2857","female","urban","high","no","26_39"
"2858","female","urban","low","yes","26_39"
"2859","male","urban","high","yes","40_65"
"2860","male","urban","medium","yes","40_65"
"2861","male","urban","low","no","40_65"
"2862","male","urban","medium","no","26_39"
"2863","female","urban","high","yes","26_39"
"2864","male","urban","medium","yes","40_65"
"2865","female","urban",NA,"yes","40_65"
"2866","male","urban","medium","yes","26_39"
"2867","female","urban","medium","yes","40_65"
"2868","male","urban","low","yes","40_65"
"2869","female","urban","high","yes","26_39"
"2870","male","urban","high","no","40_65"
"2871","female","rural","low","no","26_39"
"2872","female","urban","medium","no","14_25"
"2873","female","urban","high","no","40_65"
"2874","female","urban","medium","yes","40_65"
"2875","female","urban","medium","yes","40_65"
"2876","male","urban","medium","yes","26_39"
"2877","female","urban","high","yes","26_39"
"2878","male","urban","medium","yes","40_65"
"2879","male","urban","medium","yes","40_65"
"2880","male","urban","low","no","40_65"
"2881","female","urban","medium","yes","26_39"
"2882","female","urban","medium","yes","40_65"
"2883","female","urban","low","no","40_65"
"2884","male","rural","high","no","14_25"
"2885","female","urban","medium","no","40_65"
"2886","female","urban","low","no","14_25"
"2887","male","urban","high","no","40_65"
"2888","male","urban","low","yes","40_65"
"2889","female","rural","medium","yes","40_65"
"2890","female","urban","medium","no","14_25"
"2891","male","urban","high","yes","40_65"
"2892","female","urban","low","no","40_65"
"2893","female","urban","medium","yes","26_39"
"2894","female","urban","high","yes","40_65"
"2895","male","urban","high","yes","26_39"
"2896","female","urban","low","yes","40_65"
"2897","female","urban","high","no","26_39"
"2898","male","urban",NA,"no","26_39"
"2899","male","urban","high","no","26_39"
"2900","male","rural","high","no","26_39"
"2901","female","urban","high","no","26_39"
"2902","male","urban","high","no","40_65"
"2903","female","urban","high","yes","40_65"
"2904","male","urban","high","yes","40_65"
"2905","female","urban","high","yes","26_39"
"2906","male","urban","high","no","40_65"
"2907","female","urban","medium","yes","40_65"
"2908","male","urban","medium","no","26_39"
"2909","female","urban","high","yes","26_39"
"2910","male","urban","low","yes","40_65"
"2911","female","urban","medium","no","26_39"
"2912","male","urban","medium","yes","40_65"
"2913","male","urban","medium","no","26_39"
"2914","female","urban","high","no","26_39"
"2915","female","rural",NA,"yes","40_65"
"2916","female","urban","high","no","40_65"
"2917","male","urban",NA,"yes","40_65"
"2918","female","urban","high","yes","40_65"
"2919","female","urban","high","no","26_39"
"2920","male","urban","high","yes","40_65"
"2921","female","urban","medium","yes","40_65"
"2922","male","urban","medium","no","40_65"
"2923","female","urban","high","no","26_39"
"2924","female","rural",NA,"no","14_25"
"2925","female","urban","high","no","40_65"
"2926","male","urban","medium","no","14_25"
"2927","female","urban","high","yes","26_39"
"2928","male","urban","medium","yes","40_65"
"2929","male","rural","high","no","14_25"
"2930","male","rural","low","no","14_25"
"2931","male","urban","high","no","40_65"
"2932","female","rural","medium","yes","40_65"
"2933","male","rural","medium","no","40_65"
"2934","male","urban","high","yes","40_65"
"2935","female","rural","medium","yes","40_65"
"2936","female","rural",NA,"no","40_65"
"2937","male","urban","high","yes","26_39"
"2938","female","urban","high","yes","40_65"
"2939","male","urban","medium","yes","40_65"
"2940","female","rural",NA,"no","40_65"
"2941","female","rural","medium","yes","40_65"
"2942","female","urban","medium","yes","40_65"
"2943","female","rural","high","no","40_65"
"2944","female","urban","high","no","14_25"
"2945","male","urban","medium","yes","40_65"
"2946","male","urban","low","yes","40_65"
"2947","female","rural","medium","yes","40_65"
"2948","female","urban","high","no","26_39"
"2949","female","urban","high","no","26_39"
"2950","male","urban",NA,"no","14_25"
"2951","male","urban","high","no","40_65"
"2952","female","urban","low","yes","40_65"
"2953","male","urban","low","no","40_65"
"2954","male","urban","high","yes","40_65"
"2955","male","urban","medium","no","40_65"
"2956","female","urban","medium","yes","26_39"
"2957","male","urban","medium","yes","26_39"
"2958","female","urban","high","yes","40_65"
"2959","male","urban","high","no","26_39"
"2960","male","urban","medium","yes","40_65"
"2961","female","urban","low","yes","40_65"
"2962","female","urban","high","yes","40_65"
"2963","female","urban","high","yes","14_25"
"2964","male","urban","high","yes","40_65"
"2965","male","urban","low","no","26_39"
"2966","female","urban","high","yes","26_39"
"2967","male","urban",NA,"no","40_65"
"2968","male","rural","high","yes","40_65"
"2969","male","urban","medium","yes","40_65"
"2970","female","rural","medium","yes","40_65"
"2971","female","urban",NA,"no","26_39"
"2972","female","rural",NA,"yes","14_25"
"2973","male","rural","medium","yes","40_65"
"2974","male","rural","no","no","14_25"
"2975","female","rural","medium","yes","40_65"
"2976","male","urban","medium","yes","40_65"
"2977","male","urban","high","no","14_25"
"2978","female","urban","high","no","40_65"
"2979","male","urban","high","yes","40_65"
"2980","female","urban","high","yes","26_39"
"2981","male","urban","high","yes","26_39"
"2982","male","rural","low","no","40_65"
"2983","female","urban","high","yes","40_65"
"2984","male","urban","medium","no","14_25"
"2985","male","urban","medium","no","40_65"
"2986","male","urban","low","yes","26_39"
"2987","male","urban","high","no","14_25"
"2988","male","urban","medium","yes","26_39"
"2989","male","urban","low","yes","26_39"
"2990","female","rural","medium","yes","40_65"
"2991","female","rural","medium","yes","40_65"
"2992","female","rural","high","yes","40_65"
"2993","female","urban","high","yes","26_39"
"2994","female","urban","high","yes","14_25"
"2995","male","rural","low","yes","40_65"
"2996","male","urban","low","yes","26_39"
"2997","male","rural","low","no","14_25"
"2998","female","urban","high","no","40_65"
"2999","male","urban","high","yes","26_39"
"3000","female","urban","high","no","40_65"
"3001","male","rural","medium","yes","40_65"
"3002","female","urban","high","no","14_25"
"3003","male","rural","low","no","14_25"
"3004","male","urban","high","yes","40_65"
"3005","female","urban","medium","no","14_25"
"3006","female","rural",NA,"no","14_25"
"3007","male","urban","low","no","14_25"
"3008","male","urban","medium","yes","40_65"
"3009","female","urban","medium","yes","26_39"
"3010","male","rural","medium","no","40_65"
"3011","female","urban","medium","yes","40_65"
"3012","female","urban","medium","no","14_25"
"3013","male","urban","high","yes","40_65"
"3014","male","urban","medium","yes","26_39"
"3015","male","urban","high","no","14_25"
"3016","female","urban","high","yes","26_39"
"3017","female","urban","high","no","14_25"
"3018","female","urban","medium","no","14_25"
"3019","male","urban","medium","no","26_39"
"3020","male","urban","high","yes","40_65"
"3021","male","urban","low","no","26_39"
"3022","female","urban","medium","yes","26_39"
"3023","male","rural","high","yes","40_65"
"3024","male","urban","low","no","40_65"
"3025","female","urban","medium","yes","40_65"
"3026","female","urban","high","yes","40_65"
"3027","female","urban","medium","no","26_39"
"3028","male","urban","high","yes","26_39"
"3029","female","urban","medium","no","40_65"
"3030","female","urban","high","no","40_65"
"3031","female","rural","medium","no","26_39"
"3032","male","urban","medium","no","14_25"
"3033","female","urban","high","no","26_39"
"3034","male","urban","low","no","26_39"
"3035","male","rural","high","no","40_65"
"3036","female","urban",NA,"no","40_65"
"3037","male","urban","medium","yes","40_65"
"3038","female","urban","low","yes","40_65"
"3039","female","urban","medium","no","40_65"
"3040","female","urban","medium","no","40_65"
"3041","female","urban","high","yes","26_39"
"3042","male","urban","high","yes","26_39"
"3043","female","urban","high","yes","26_39"
"3044","male","urban",NA,"no","40_65"
"3045","male","urban","medium","no","40_65"
"3046","female","rural","medium","yes","40_65"
"3047","female","urban","medium","yes","26_39"
"3048","female","urban","high","no","40_65"
"3049","male","urban","high","no","26_39"
"3050","male","rural","medium","no","26_39"
"3051","female","rural","low","yes","40_65"
"3052","male","urban","high","no","26_39"
"3053","male","rural",NA,"no","14_25"
"3054","female","rural","no","no","26_39"
"3055","female","urban","high","yes","26_39"
"3056","male","urban","medium","yes","40_65"
"3057","female","urban","medium","yes","26_39"
"3058","male","urban","low","yes","26_39"
"3059","male","urban","medium","no","26_39"
"3060","female","urban","medium","yes","40_65"
"3061","female","rural",NA,"no","14_25"
"3062","male","urban","high","yes","26_39"
"3063","male","urban","low","yes","40_65"
"3064","male","urban","high","yes","40_65"
"3065","female","urban","medium","yes","26_39"
"3066","male","urban","medium","no","14_25"
"3067","female","urban","high","no","26_39"
"3068","female","rural","medium","no","40_65"
"3069","male","urban","high","no","26_39"
"3070","female","rural","medium","no","14_25"
"3071","female","rural","medium","yes","26_39"
"3072","female","rural","high","yes","40_65"
"3073","male","urban","no","no","40_65"
"3074","female","urban","high","yes","40_65"
"3075","male","rural","medium","yes","40_65"
"3076","female","urban","high","yes","40_65"
"3077","male","urban","low","no","14_25"
"3078","male","rural","high","no","40_65"
"3079","female","urban","high","no","26_39"
"3080","male","urban","high","yes","40_65"
"3081","female","rural","high","no","26_39"
"3082","female","rural","low","no","14_25"
"3083","female","urban","high","no","14_25"
"3084","female","urban","medium","no","14_25"
"3085","female","urban","high","yes","40_65"
"3086","male","urban","high","no","14_25"
"3087","male","urban","high","no","26_39"
"3088","female","urban","medium","yes","40_65"
"3089","male","urban","high","no","14_25"
"3090","female","urban","medium","no","40_65"
"3091","female","urban","high","no","14_25"
"3092","female","rural","medium","yes","40_65"
"3093","male","urban","medium","no","40_65"
"3094","male","urban","high","no","26_39"
"3095","male","urban",NA,"yes","26_39"
"3096","male","urban","high","no","26_39"
"3097","male","urban","high","no","14_25"
"3098","female","urban","high","yes","40_65"
"3099","male","urban","low","yes","26_39"
"3100","male","urban","medium","yes","26_39"
"3101","male","rural","high","yes","40_65"
"3102","male","urban","high","no","26_39"
"3103","male","rural","high","yes","40_65"
"3104","male","urban","medium","no","14_25"
"3105","male","urban",NA,"no","40_65"
"3106","female","urban","high","no","26_39"
"3107","male","urban","high","no","14_25"
"3108","female","urban","low","no","14_25"
"3109","female","urban","high","no","40_65"
"3110","male","urban","high","yes","26_39"
"3111","female","urban","medium","yes","26_39"
"3112","male","urban","high","yes","40_65"
"3113","female","urban","high","yes","26_39"
"3114","male","urban","medium","yes","40_65"
"3115","male","urban","high","yes","14_25"
"3116","male","urban","medium","no","40_65"
"3117","female","urban","medium","no","14_25"
"3118","male","urban","high","yes","40_65"
"3119","female","urban","medium","no","40_65"
"3120","female","urban","low","no","40_65"
"3121","male","urban","high","yes","40_65"
"3122","male","urban","low","no","40_65"
"3123","female","urban","high","yes","26_39"
"3124","male","urban","high","yes","40_65"
"3125","male","urban","no","yes","40_65"
"3126","male","urban","low","no","40_65"
"3127","male","urban",NA,"no","26_39"
"3128","male","urban","high","yes","40_65"
"3129","male","urban","medium","no","40_65"
"3130","male","urban","high","no","26_39"
"3131","male","urban","medium","no","40_65"
"3132","male","urban","high","yes","40_65"
"3133","female","urban","high","no","14_25"
"3134","female","urban","medium","no","14_25"
"3135","male","urban","high","yes","40_65"
"3136","female","urban","high","yes","40_65"
"3137","male","urban","medium","yes","40_65"
"3138","female","urban","high","yes","40_65"
"3139","male","urban","medium","no","40_65"
"3140","male","urban","medium","no","40_65"
"3141","male","urban","high","yes","40_65"
"3142","male","urban","high","no","26_39"
"3143","female","urban","high","yes","40_65"
"3144","male","urban","high","yes","26_39"
"3145","female","urban","high","no","26_39"
"3146","female","urban","medium","yes","26_39"
"3147","female","urban","medium","no","14_25"
"3148","female","urban","medium","yes","40_65"
"3149","male","urban","medium","no","26_39"
"3150","female","rural",NA,"no","40_65"
"3151","male","urban","medium","yes","40_65"
"3152","male","urban","high","no","14_25"
"3153","male","urban","high","yes","26_39"
"3154","female","rural","low","yes","40_65"
"3155","female","urban","high","yes","26_39"
"3156","female","urban","medium","no","26_39"
"3157","male","urban","high","yes","40_65"
"3158","female","rural","low","yes","40_65"
"3159","female","rural","medium","no","14_25"
"3160","male","urban","high","yes","40_65"
"3161","male","rural","medium","yes","26_39"
"3162","female","urban","medium","no","40_65"
"3163","female","urban","high","no","40_65"
"3164","male","urban","high","no","26_39"
"3165","male","urban","medium","yes","40_65"
"3166","male","urban",NA,"no","40_65"
"3167","female","urban","low","yes","40_65"
"3168","male","urban","medium","no","14_25"
"3169","female","urban","medium","no","26_39"
"3170","female","urban","medium","no","14_25"
"3171","male","urban","medium","no","40_65"
"3172","female","rural","low","yes","40_65"
"3173","male","urban","medium","yes","40_65"
"3174","female","rural","medium","yes","26_39"
"3175","female","urban","medium","yes","40_65"
"3176","male","urban","high","yes","40_65"
"3177","female","urban","high","yes","26_39"
"3178","male","rural","low","yes","26_39"
"3179","male","urban","medium","no","26_39"
"3180","male","urban","high","no","26_39"
"3181","male","urban",NA,"no","26_39"
"3182","male","urban","medium","yes","40_65"
"3183","male","rural","medium","no","40_65"
"3184","female","urban","high","yes","40_65"
"3185","female","rural","medium","yes","26_39"
"3186","female","rural","medium","yes","40_65"
"3187","male","urban","high","yes","40_65"
"3188","female","urban","medium","no","14_25"
"3189","female","rural","high","yes","40_65"
"3190","male","rural","medium","no","14_25"
"3191","female","urban","medium","no","40_65"
"3192","female","urban","high","yes","26_39"
"3193","female","urban","medium","yes","40_65"
"3194","female","urban",NA,"no","40_65"
"3195","male","rural","high","yes","40_65"
"3196","female","urban","high","yes","40_65"
"3197","female","rural","medium","no","14_25"
"3198","male","urban","high","yes","40_65"
"3199","female","urban","medium","no","14_25"
"3200","female","urban","high","no","14_25"
"3201","male","urban","high","no","26_39"
"3202","female","rural","low","no","40_65"
"3203","male","urban","low","no","14_25"
"3204","female","urban","high","yes","26_39"
"3205","female","urban","medium","yes","40_65"
"3206","female","urban","low","yes","14_25"
"3207","male","urban","high","no","40_65"
"3208","male","urban","high","yes","26_39"
"3209","female","urban","medium","yes","40_65"
"3210","male","urban","high","no","26_39"
"3211","male","urban","high","no","26_39"
"3212","female","urban","high","no","40_65"
"3213","male","urban","high","no","26_39"
"3214","male","urban","low","no","14_25"
"3215","female","rural","high","yes","40_65"
"3216","male","rural","low","yes","40_65"
"3217","female","urban","high","no","14_25"
"3218","male","urban","medium","no","14_25"
"3219","male","urban","low","yes","40_65"
"3220","male","urban","low","yes","26_39"
"3221","female","urban","low","yes","40_65"
"3222","male","urban","high","no","26_39"
"3223","male","urban","high","yes","14_25"
"3224","female","urban","high","no","14_25"
"3225","male","urban","high","no","26_39"
"3226","female","urban",NA,"yes","26_39"
"3227","female","urban","high","yes","40_65"
"3228","male","urban","high","no","40_65"
"3229","female","urban","low","no","14_25"
"3230","male","urban","high","yes","26_39"
"3231","male","urban",NA,"yes","40_65"
"3232","male","urban","low","no","40_65"
"3233","male","urban","high","yes","40_65"
"3234","male","urban","medium","no","14_25"
"3235","female","rural","low","no","14_25"
"3236","male","urban","medium","yes","40_65"
"3237","female","urban","high","no","26_39"
"3238","female","rural","high","no","26_39"
"3239","male","urban",NA,"no","14_25"
"3240","male","urban","low","no","14_25"
"3241","female","urban","low","no","26_39"
"3242","female","rural","low","yes","40_65"
"3243","male","urban","high","yes","40_65"
"3244","male","urban","medium","no","40_65"
"3245","female","urban","medium","yes","40_65"
"3246","male","urban","no","yes","40_65"
"3247","female","urban","medium","yes","40_65"
"3248","female","urban","medium","no","26_39"
"3249","male","urban","high","yes","40_65"
"3250","male","rural","low","yes","40_65"
"3251","female","urban","medium","yes","40_65"
"3252","male","urban","high","no","40_65"
"3253","male","urban","high","yes","14_25"
"3254","male","urban","medium","yes","40_65"
"3255","female","rural","medium","yes","40_65"
"3256","male","urban","medium","yes","40_65"
"3257","female","urban","medium","no","14_25"
"3258","female","urban","medium","no","40_65"
"3259","male","urban","high","yes","40_65"
"3260","female","rural",NA,"no","14_25"
"3261","male","rural","high","yes","40_65"
"3262","female","rural","medium","no","40_65"
"3263","male","rural","medium","no","40_65"
"3264","female","urban","medium","yes","40_65"
"3265","male","urban","medium","no","14_25"
"3266","male","urban","medium","yes","40_65"
"3267","male","urban","medium","yes","26_39"
"3268","male","urban","medium","yes","40_65"
"3269","male","urban","medium","yes","26_39"
"3270","female","rural","medium","no","14_25"
"3271","female","rural","low","no","40_65"
"3272","female","rural","medium","yes","26_39"
"3273","female","urban","medium","yes","14_25"
"3274","female","urban","no","no","14_25"
"3275","female","urban","high","yes","26_39"
"3276","male","urban","medium","yes","14_25"
"3277","male","urban","low","no","40_65"
"3278","female","urban","medium","yes","40_65"
"3279","female","urban","no","no","26_39"
"3280","female","urban","medium","no","26_39"
"3281","male","urban","high","yes","26_39"
"3282","female","urban","low","no","14_25"
"3283","female","rural","medium","yes","40_65"
"3284","male","urban","high","yes","26_39"
"3285","female","urban","low","yes","40_65"
"3286","male","urban","low","no","14_25"
"3287","male","urban","medium","no","14_25"
"3288","female","urban","high","yes","26_39"
"3289","female","urban","low","no","40_65"
"3290","female","urban","no","no","26_39"
"3291","female","urban","high","no","26_39"
"3292","female","urban","medium","yes","40_65"
"3293","female","rural","no","no","40_65"
"3294","female","urban","medium","yes","14_25"
"3295","female","urban","high","yes","40_65"
"3296","male","urban","medium","yes","40_65"
"3297","male","urban","high","yes","40_65"
"3298","male","urban","high","yes","14_25"
"3299","male","rural","low","no","14_25"
"3300","female","urban","medium","yes","40_65"
"3301","male","urban","low","yes","40_65"
"3302","male","rural","high","yes","40_65"
"3303","female","urban","high","no","40_65"
"3304","male","urban","high","yes","26_39"
"3305","male","urban","medium","yes","26_39"
"3306","female","urban","medium","yes","40_65"
"3307","male","rural","high","no","40_65"
"3308","female","rural","medium","yes","40_65"
"3309","male","urban","high","yes","26_39"
"3310","female","rural","medium","no","26_39"
"3311","male","urban","high","no","26_39"
"3312","female","urban","medium","no","26_39"
"3313","female","urban","medium","yes","40_65"
"3314","male","urban","medium","no","40_65"
"3315","female","urban","high","yes","14_25"
"3316","male","rural","low","no","14_25"
"3317","female","urban","high","yes","40_65"
"3318","female","urban","no","yes","40_65"
"3319","male","rural","low","yes","40_65"
"3320","female","rural","low","yes","40_65"
"3321","male","urban","high","yes","26_39"
"3322","female","rural","no","yes","40_65"
"3323","male","urban","medium","no","40_65"
"3324","female","rural","low","yes","40_65"
"3325","male","urban","high","yes","40_65"
"3326","male","urban","high","yes","26_39"
"3327","male","urban","high","yes","26_39"
"3328","male","rural","medium","yes","40_65"
"3329","female","urban","high","yes","26_39"
"3330","female","rural","low","yes","40_65"
"3331","male","rural","medium","yes","40_65"
"3332","female","urban","low","yes","14_25"
"3333","male","urban","high","no","14_25"
"3334","female","urban","high","yes","26_39"
"3335","male","rural","high","yes","40_65"
"3336","female","urban","high","yes","40_65"
"3337","female","rural","low","no","14_25"
"3338","female","rural","high","yes","40_65"
"3339","male","urban","medium","yes","40_65"
"3340","male","urban","high","yes","40_65"
"3341","male","rural","low","yes","40_65"
"3342","male","rural","high","yes","40_65"
"3343","female","rural","medium","yes","40_65"
"3344","male","urban","high","yes","40_65"
"3345","male","urban","high","yes","14_25"
"3346","male","urban","low","yes","26_39"
"3347","male","rural","high","no","40_65"
"3348","female","urban","low","no","26_39"
"3349","male","rural","low","yes","40_65"
"3350","female","urban","low","yes","26_39"
"3351","male","urban","high","yes","40_65"
"3352","female","rural","high","yes","26_39"
"3353","male","urban","low","no","14_25"
"3354","male","urban","high","no","40_65"
"3355","male","rural","low","yes","40_65"
"3356","male","urban","no","no","14_25"
"3357","male","urban","low","no","14_25"
"3358","male","rural","medium","yes","26_39"
"3359","male","rural","high","no","14_25"
"3360","female","rural","low","yes","40_65"
"3361","female","rural","high","yes","40_65"
"3362","male","rural","high","yes","40_65"
"3363","male","rural","high","yes","40_65"
"3364","female","urban","high","yes","40_65"
"3365","male","rural","low","yes","40_65"
"3366","male","urban","high","yes","26_39"
"3367","male","urban","high","yes","40_65"
"3368","male","urban",NA,"yes","40_65"
"3369","male","rural","high","no","40_65"
"3370","male","urban","high","no","14_25"
"3371","male","urban","high","no","14_25"
"3372","male","urban","high","yes","40_65"
"3373","male","rural","low","no","14_25"
"3374","male","urban","high","yes","40_65"
"3375","female","urban","low","yes","40_65"
"3376","female","urban","high","no","40_65"
"3377","female","rural","medium","yes","40_65"
"3378","female","rural","medium","no","14_25"
"3379","male","urban","high","yes","40_65"
"3380","female","urban","medium","yes","26_39"
"3381","male","urban","medium","yes","40_65"
"3382","female","urban","low","no","40_65"
"3383","male","urban","high","yes","40_65"
"3384","female","urban","high","no","26_39"
"3385","male","urban","high","no","26_39"
"3386","male","urban","high","yes","26_39"
"3387","male","rural","high","no","40_65"
"3388","male","urban",NA,"no","26_39"
"3389","male","rural","high","yes","40_65"
"3390","male","rural","low","no","14_25"
"3391","female","urban","low","no","14_25"
"3392","female","rural","high","no","40_65"
"3393","female","urban","medium","yes","40_65"
"3394","female","rural","high","yes","40_65"
"3395","female","urban","high","yes","40_65"
"3396","female","rural","medium","no","14_25"
"3397","female","rural","high","no","14_25"
"3398","female","urban","no","no","26_39"
"3399","male","urban","high","no","26_39"
"3400","male","urban","medium","no","40_65"
"3401","female","urban","no","no","26_39"
"3402","male","urban","low","yes","40_65"
"3403","male","rural","high","no","26_39"
"3404","female","urban","medium","no","14_25"
"3405","male","urban","medium","yes","40_65"
"3406","female","urban","medium","no","40_65"
"3407","female","rural","medium","no","14_25"
"3408","female","urban","high","no","40_65"
"3409","female","urban","high","no","14_25"
"3410","female","urban","high","no","26_39"
"3411","male","urban","low","yes","40_65"
"3412","female","urban","high","no","26_39"
"3413","male","rural","medium","yes","40_65"
"3414","male","urban",NA,"no","40_65"
"3415","female","urban","high","no","40_65"
"3416","male","urban","low","no","14_25"
"3417","male","urban","high","yes","40_65"
"3418","female","urban","low","yes","26_39"
"3419","female","rural","medium","yes","14_25"
"3420","male","rural","high","yes","40_65"
"3421","male","urban","low","yes","40_65"
"3422","female","urban","medium","yes","40_65"
"3423","female","rural","low","no","14_25"
"3424","female","urban","low","yes","40_65"
"3425","male","rural","high","yes","40_65"
"3426","male","urban","no","yes","40_65"
"3427","male","urban","high","yes","40_65"
"3428","male","rural","high","yes","40_65"
"3429","male","urban","medium","no","40_65"
"3430","female","rural","high","no","14_25"
"3431","male","urban","medium","no","26_39"
"3432","male","urban","high","yes","40_65"
"3433","male","urban","high","yes","26_39"
"3434","female","urban","high","yes","26_39"
"3435","male","rural","medium","yes","26_39"
"3436","female","urban","high","yes","26_39"
"3437","female","urban","high","no","14_25"
"3438","male","rural","no","no","40_65"
"3439","male","rural","low","no","14_25"
"3440","male","urban","medium","no","40_65"
"3441","female","rural","low","yes","26_39"
"3442","male","urban","high","no","26_39"
"3443","male","urban","high","no","40_65"
"3444","male","urban","high","yes","26_39"
"3445","female","urban","high","no","40_65"
"3446","female","rural","medium","yes","40_65"
"3447","male","rural","high","yes","40_65"
"3448","female","urban","medium","yes","40_65"
"3449","female","urban",NA,"yes","26_39"
"3450","female","rural","medium","no","40_65"
"3451","female","rural","medium","yes","40_65"
"3452","male","urban","high","no","26_39"
"3453","male","rural","medium","yes","40_65"
"3454","female","urban","low","no","14_25"
"3455","male","urban","high","no","40_65"
"3456","male","urban","high","no","26_39"
"3457","male","urban","low","yes","26_39"
"3458","male","rural","high","yes","40_65"
"3459","female","rural","no","yes","40_65"
"3460","male","urban","high","no","40_65"
"3461","male","urban","high","yes","40_65"
"3462","male","urban","high","yes","40_65"
"3463","male","urban","medium","yes","40_65"
"3464","male","urban","low","yes","40_65"
"3465","female","urban","high","yes","40_65"
"3466","male","urban","high","no","40_65"
"3467","male","urban","low","no","40_65"
"3468","female","urban","high","yes","26_39"
"3469","female","urban","medium","yes","40_65"
"3470","male","urban","medium","no","26_39"
"3471","female","rural","medium","no","14_25"
"3472","female","urban","low","yes","40_65"
"3473","female","rural","medium","no","26_39"
"3474","male","rural","medium","yes","26_39"
"3475","female","urban","high","no","14_25"
"3476","male","urban",NA,"yes","40_65"
"3477","male","rural","low","no","40_65"
"3478","male","urban","no","yes","26_39"
"3479","female","rural","low","no","14_25"
"3480","male","urban","high","yes","40_65"
"3481","female","rural","medium","no","14_25"
"3482","female","urban","medium","yes","26_39"
"3483","female","rural","low","no","14_25"
"3484","female","rural","high","yes","40_65"
"3485","male","urban","low","no","26_39"
"3486","female","urban","medium","yes","14_25"
"3487","male","rural","medium","no","14_25"
"3488","male","rural","high","no","14_25"
"3489","male","urban",NA,"yes","26_39"
"3490","male","rural","no","no","26_39"
"3491","male","urban","low","no","40_65"
"3492","male","urban","high","no","26_39"
"3493","male","urban","medium","no","14_25"
"3494","female","rural","high","yes","40_65"
"3495","male","urban","high","no","26_39"
"3496","male","rural",NA,"yes","40_65"
"3497","female","urban","high","no","26_39"
"3498","male","urban","medium","yes","40_65"
"3499","female","urban","high","no","14_25"
"3500","male","urban","high","no","14_25"
"3501","female","urban","no","no","14_25"
"3502","female","urban","low","no","26_39"
"3503","female","urban","medium","yes","40_65"
"3504","male","urban",NA,"yes","40_65"
"3505","male","urban","high","yes","40_65"
"3506","female","urban","high","yes","14_25"
"3507","female","urban","low","no","14_25"
"3508","male","urban","medium","yes","40_65"
"3509","female","urban","high","no","40_65"
"3510","male","urban","medium","yes","40_65"
"3511","female","rural","medium","yes","40_65"
"3512","female","urban","medium","yes","40_65"
"3513","female","urban","medium","yes","40_65"
"3514","male","urban","medium","no","40_65"
"3515","male","urban","medium","no","40_65"
"3516","female","rural","high","yes","26_39"
"3517","male","urban","low","yes","26_39"
"3518","male","rural","high","yes","40_65"
"3519","female","urban","medium","no","14_25"
"3520","male","urban","low","yes","40_65"
"3521","male","urban","low","yes","40_65"
"3522","female","urban","medium","yes","26_39"
"3523","male","rural","low","yes","26_39"
"3524","female","rural","medium","no","14_25"
"3525","female","urban","medium","no","40_65"
"3526","male","urban","medium","no","14_25"
"3527","male","rural","medium","yes","40_65"
"3528","female","rural",NA,"no","26_39"
"3529","male","urban","medium","yes","40_65"
"3530","female","rural","low","yes","40_65"
"3531","male","rural","medium","yes","40_65"
"3532","male","rural","medium","no","40_65"
"3533","female","urban","medium","no","14_25"
"3534","female","urban","high","no","26_39"
"3535","female","rural","medium","yes","40_65"
"3536","male","urban","high","yes","40_65"
"3537","male","rural","low","no","14_25"
"3538","female","urban","low","yes","40_65"
"3539","female","rural","high","yes","40_65"
"3540","male","rural","low","no","14_25"
"3541","female","urban","low","no","14_25"
"3542","male","urban","medium","no","26_39"
"3543","female","urban","high","yes","40_65"
"3544","male","urban","high","no","26_39"
"3545","male","urban",NA,"no","14_25"
"3546","female","rural","high","yes","40_65"
"3547","male","rural","high","yes","40_65"
"3548","female","urban","medium","no","40_65"
"3549","female","urban","high","no","40_65"
"3550","male","urban","medium","yes","40_65"
"3551","male","rural","high","yes","26_39"
"3552","female","urban","high","yes","40_65"
"3553","female","urban","medium","no","14_25"
"3554","female","urban","medium","yes","40_65"
"3555","female","urban","medium","yes","40_65"
"3556","female","urban","high","yes","26_39"
"3557","female","rural","high","yes","40_65"
"3558","female","urban","medium","no","14_25"
"3559","female","urban","medium","yes","40_65"
"3560","male","urban","high","yes","40_65"
"3561","male","urban","no","yes","26_39"
